Geographic Area,2020,2021,2022,2023,2024,GEOID,STATEFP,NAMELSAD
Appling County,18378,18421,18479,18517,18669,13001,13,Appling County
Atkinson County,8312,8353,8236,8351,8435,13003,13,Atkinson County
Bacon County,11113,11074,11174,11140,11045,13005,13,Bacon County
Baker County,2850,2824,2796,2750,2732,13007,13,Baker County
Baldwin County,43793,43703,43649,43423,43644,13009,13,Baldwin County
Banks County,18139,18597,19404,19863,20318,13011,13,Banks County
Barrow County,84006,86759,89359,93011,96294,13013,13,Barrow County
Bartow County,109321,110953,112805,114977,117508,13015,13,Bartow County
Ben Hill County,17166,17128,17055,17150,16945,13017,13,Ben Hill County
Berrien County,18148,18120,18238,18587,18666,13019,13,Berrien County
Bibb County,157038,156005,156115,156676,157056,13021,13,Bibb County
Bleckley County,12525,12274,12270,12455,12626,13023,13,Bleckley County
Brantley County,18046,18123,18196,18417,18795,13025,13,Brantley County
Brooks County,16271,16276,16300,16275,16344,13027,13,Brooks County
Bryan County,45044,46976,48316,49876,51105,13029,13,Bryan County
Bulloch County,79918,80682,83027,84332,85454,13031,13,Bulloch County
Burke County,24640,24372,24433,24431,24472,13033,13,Burke County
Butts County,25554,26177,26745,26875,27127,13035,13,Butts County
Calhoun County,5574,5543,5471,5462,5441,13037,13,Calhoun County
Camden County,54929,55796,57036,57991,59099,13039,13,Camden County
Candler County,11026,10953,11000,11106,11130,13043,13,Candler County
Carroll County,119487,121592,124564,127293,129911,13045,13,Carroll County
Catoosa County,68007,68446,68840,68935,68940,13047,13,Catoosa County
Charlton County,12533,12827,12781,12928,13021,13049,13,Charlton County
Chatham County,295076,295714,301512,304757,307336,13051,13,Chatham County
Chattahoochee County,9481,9047,8773,8588,8548,13053,13,Chattahoochee County
Chattooga County,24929,24850,24921,25176,25306,13055,13,Chattooga County
Cherokee County,268169,274778,281455,287243,293513,13057,13,Cherokee County
Clarke County,128547,129211,129954,130338,129995,13059,13,Clarke County
Clay County,2829,2868,2862,2869,2815,13061,13,Clay County
Clayton County,299440,299234,298862,299380,297703,13063,13,Clayton County
Clinch County,6725,6708,6684,6808,6871,13065,13,Clinch County
Cobb County,766383,766747,774162,781208,787538,13067,13,Cobb County
Coffee County,43058,43053,43311,43464,43851,13069,13,Coffee County
Colquitt County,45901,45774,45952,46515,46977,13071,13,Colquitt County
Columbia County,156869,159680,162681,165470,167472,13073,13,Columbia County
Cook County,17236,17264,17414,17760,17984,13075,13,Cook County
Coweta County,146759,149999,153002,156269,158233,13077,13,Coweta County
Crawford County,12102,12140,12197,12335,12349,13079,13,Crawford County
Crisp County,20056,20005,19755,19668,19468,13081,13,Crisp County
Dade County,16235,16220,16114,16188,16068,13083,13,Dade County
Dawson County,27061,28505,30175,31720,33748,13085,13,Dawson County
Decatur County,29326,29097,29038,29124,29391,13087,13,Decatur County
DeKalb County,764630,759333,764440,768047,770307,13089,13,DeKalb County
Dodge County,19952,19739,19903,19799,19630,13091,13,Dodge County
Dooly County,11159,10879,10639,11056,11186,13093,13,Dooly County
Dougherty County,85161,82271,82972,82635,82418,13095,13,Dougherty County
Douglas County,144678,145786,147690,149401,151887,13097,13,Douglas County
Early County,10796,10638,10567,10570,10444,13099,13,Early County
Echols County,3721,3697,3694,3739,3698,13101,13,Echols County
Effingham County,65192,66795,69030,71549,73148,13103,13,Effingham County
Elbert County,19665,19572,19853,20003,20152,13105,13,Elbert County
Emanuel County,22902,22907,22953,23146,23224,13107,13,Emanuel County
Evans County,10795,10704,10662,10753,10869,13109,13,Evans County
Fannin County,25437,25800,25702,25916,25854,13111,13,Fannin County
Fayette County,119512,120751,122150,123698,125107,13113,13,Fayette County
Floyd County,98583,98498,99586,100407,101390,13115,13,Floyd County
Forsyth County,252911,260816,268075,274535,280096,13117,13,Forsyth County
Franklin County,23477,23518,24151,24815,25208,13119,13,Franklin County
