location_name,location_type,article_id
Atkinson County,county,2396
Baldwin County,county,1209
Baldwin County,county,1812
Bartow County,county,486
Bartow County,county,585
Bartow County,county,784
Bartow County,county,2752
Berrien County,county,1940
Bibb County,county,81
Bibb County,county,620
Bibb County,county,1359
Bibb County,county,1812
Bibb County,county,2119
Bibb County,county,2536
Bibb County,county,2650
Bibb County,county,2759
Bibb County,county,2786
Bryan County,county,64
Bryan County,county,117
Bryan County,county,1393
Butts County,county,64
Butts County,county,117
Calhoun County,county,904
Carroll County,county,127
Carroll County,county,396
Carroll County,county,1382
Carroll County,county,1400
Carroll County,county,1504
Carroll County,county,1804
Chatham County,county,132
Chatham County,county,1221
Chatham County,county,1283
Chatham County,county,1327
Clarke County,county,190
Clarke County,county,829
Clarke County,county,1111
Clarke County,county,1497
Clarke County,county,1801
Clarke County,county,1936
Clarke County,county,2076
Clarke County,county,2499
Clay County,county,1250
Clay County,county,1628
Clay County,county,2553
Clay County,county,2651
Clayton County,county,422
Clayton County,county,726
Clayton County,county,2047
Cobb County,county,1719
Cobb County,county,2627
Columbia County,county,582
Columbia County,county,601
Columbia County,county,602
Columbia County,county,988
Columbia County,county,1215
Columbia County,county,1230
Columbia County,county,1241
Columbia County,county,1296
Columbia County,county,1520
Columbia County,county,1577
Columbia County,county,1584
Columbia County,county,1597
Columbia County,county,1598
Columbia County,county,1601
Columbia County,county,1619
Columbia County,county,1893
Columbia County,county,1898
Columbia County,county,2035
Columbia County,county,2469
Columbia County,county,2475
Columbia County,county,2684
Cook County,county,24
Cook County,county,230
Cook County,county,239
Cook County,county,241
Cook County,county,543
Cook County,county,633
Cook County,county,683
Cook County,county,1047
Cook County,county,1085
Cook County,county,1401
Cook County,county,1445
Cook County,county,1778
Coweta County,county,64
Coweta County,county,117
Coweta County,county,123
Coweta County,county,319
Coweta County,county,490
Coweta County,county,530
Coweta County,county,616
Coweta County,county,901
Coweta County,county,1160
Coweta County,county,1443
Coweta County,county,1599
Coweta County,county,1605
Coweta County,county,1625
Coweta County,county,1897
Coweta County,county,1935
Coweta County,county,2046
Coweta County,county,2047
Coweta County,county,2270
Coweta County,county,2586
Coweta County,county,2752
Crawford County,county,1812
Dade County,county,1726
Dade County,county,1903
Dade County,county,2372
Dade County,county,2383
DeKalb County,county,123
DeKalb County,county,422
DeKalb County,county,485
DeKalb County,county,517
DeKalb County,county,614
DeKalb County,county,677
DeKalb County,county,709
DeKalb County,county,897
DeKalb County,county,1719
DeKalb County,county,1735
DeKalb County,county,1755
DeKalb County,county,1768
DeKalb County,county,1769
DeKalb County,county,1807
DeKalb County,county,2197
DeKalb County,county,2217
DeKalb County,county,2221
DeKalb County,county,2259
DeKalb County,county,2421
Dodge County,county,743
Dodge County,county,866
Douglas County,county,594
Douglas County,county,605
Douglas County,county,901
Douglas County,county,943
Douglas County,county,1768
Douglas County,county,1769
Douglas County,county,1814
Douglas County,county,1839
Douglas County,county,2170
Douglas County,county,2586
Fayette County,county,121
Fayette County,county,125
Fayette County,county,709
Fayette County,county,782
Fayette County,county,1584
Fayette County,county,1621
Fayette County,county,2050
Fayette County,county,2771
Fayette County,county,2781
Fayette County,county,2786
Floyd County,county,1249
Floyd County,county,1320
Floyd County,county,1493
Floyd County,county,2125
Floyd County,county,2159
Floyd County,county,2275
Floyd County,county,2383
Floyd County,county,2455
Floyd County,county,2461
Floyd County,county,2462
Floyd County,county,2464
Floyd County,county,2484
Forsyth County,county,1768
Forsyth County,county,1769
Franklin County,county,1043
Franklin County,county,1393
Franklin County,county,1542
Franklin County,county,2209
Franklin County,county,2297
Fulton County,county,772
Fulton County,county,1264
Fulton County,county,2586
Gilmer County,county,123
Gordon County,county,420
Gordon County,county,2255
Gordon County,county,2257
Greene County,county,995
Greene County,county,1199
Greene County,county,1217
Greene County,county,1244
Greene County,county,1270
Greene County,county,1287
Greene County,county,1292
Greene County,county,1301
Greene County,county,1446
Greene County,county,1503
Greene County,county,1792
Greene County,county,2312
Greene County,county,2545
Greene County,county,2550
Gwinnett County,county,1719
Hall County,county,17
Hall County,county,421
Hall County,county,816
Hall County,county,856
Hall County,county,1334
Hall County,county,1531
Hall County,county,1547
Hall County,county,1580
Hall County,county,1716
Hall County,county,2586
Hall County,county,2640
Harris County,county,87
Harris County,county,1294
Henry County,county,1721
Houston County,county,1812
Jackson County,county,907
Jackson County,county,955
Jackson County,county,1628
Jackson County,county,2258
